r2, X, Y, Z
0.000270, -0.004440, -0.004804, -0.015068
0.001373, -0.003579, -0.019711, -0.031164
0.000374, -0.003913, -0.010307, -0.015899
0.000639, 0.005108, -0.006840, -0.023803
0.000647, 0.000906, -0.013740, -0.021395
0.001096, -0.000451, -0.006062, -0.032546
0.000297, 0.005321, -0.008305, -0.014117
0.003781, -0.017382, -0.031077, -0.050128
0.009696, -0.092819, -0.008215, -0.031833
0.000402, -0.019977, 0.001394, -0.000989, 0, Stopped
0.000387, 0.007186, -0.002284, -0.018167
0.000175, 0.000368, -0.004115, -0.012574
0.000316, 0.007237, -0.005130, -0.015410
0.000312, -0.003559, -0.011982, -0.012461
0.000269, 0.002564, -0.009999, -0.012765
0.000577, 0.021865, 0.000389, -0.009923
0.000362, 0.007467, -0.010388, -0.014087
0.000175, 0.002866, -0.001949, -0.012754
0.000369, 0.004278, -0.018530, 0.002750
0.000551, 0.001127, -0.009483, -0.021435
0.000250, -0.010087, -0.008780, -0.008463
0.000493, -0.015291, -0.011950, -0.010779
0.000142, -0.001856, -0.006862, -0.009548
0.000221, -0.003875, -0.005125, -0.013417
0.000860, -0.003789, -0.009068, -0.027638
0.000200, -0.007483, -0.006516, -0.010076
0.000390, 0.001674, -0.007460, -0.018200
0.000267, 0.001378, -0.006290, -0.015006
0.000319, 0.004620, -0.004119, -0.016744
0.000251, -0.000235, -0.008578, -0.013308
0.000241, -0.001014, -0.008943, -0.012652
0.000220, 0.007392, -0.007754, -0.010276
0.000610, 0.013123, -0.003487, -0.020631
0.000520, -0.010191, 0.001796, -0.020327
0.000387, -0.005198, -0.001257, -0.018934
0.000578, -0.009800, -0.016928, -0.013975
0.000173, 0.000765, 0.002736, -0.012858
0.000308, 0.006444, -0.003850, -0.015872
0.000452, -0.001027, -0.011247, -0.018001
0.000482, 0.006433, -0.009212, -0.018851
0.000130, 0.006124, -0.006041, -0.007502
0.000452, 0.012547, -0.008603, -0.014846
0.000390, -0.004521, -0.005040, -0.018562
0.000714, -0.003989, -0.002960, -0.026261
0.000729, -0.018695, -0.019391, 0.001835
0.000980, 0.014241, -0.023194, 0.015462
0.001827, 0.033180, 0.005564, -0.026358
0.000493, -0.013789, -0.012507, -0.012106
0.002243, -0.022328, -0.024381, -0.033915
