r2, X, Y, Z
0.000906, -0.027190, 0.006713, 0.011020
0.000312, 0.007423, 0.004191, 0.015471
0.000663, -0.015820, 0.005667, -0.019521
0.004241, 0.063150, -0.004876, 0.015158
0.000657, -0.017297, -0.005143, 0.018199
0.000426, 0.017074, 0.001058, -0.011544
0.000756, -0.001384, -0.012272, -0.024558
0.000380, 0.003437, -0.018688, 0.004371
0.000772, 0.019333, 0.007805, 0.018368
0.000505, 0.000519, 0.020831, -0.008419
0.000681, 0.004385, 0.003478, -0.025484
0.000046, 0.004579, 0.004785, 0.001408
0.000538, -0.001733, 0.019103, 0.013022
0.001207, 0.011042, 0.032568, 0.004929
0.000453, -0.006749, -0.009858, -0.017617
0.001432, -0.007803, -0.032715, -0.017345
0.006151, 0.070668, 0.016367, 0.029824
0.002994, -0.050739, 0.004497, 0.019987
0.000182, 0.011659, 0.005948, 0.003287
0.000371, -0.005176, 0.018502, 0.001433
0.000484, 0.004009, -0.003850, 0.021280
0.000549, -0.002895, 0.023254, -0.000064
0.000289, 0.014385, -0.007718, -0.004696
0.002081, 0.008002, -0.009633, 0.043866
0.000560, 0.013571, 0.014020, -0.013394
0.000352, -0.012573, -0.005160, 0.012946
0.000915, 0.005814, 0.022044, 0.019883
0.000390, 0.011225, 0.016248, 0.000583
0.000249, 0.001966, -0.006627, -0.014200
0.004127, 0.038355, -0.029968, -0.041930
0.001096, -0.027673, 0.013343, 0.012340
0.001563, 0.030865, 0.013468, 0.020714
0.000829, -0.023415, 0.015809, -0.005520
0.001630, 0.009725, 0.019715, 0.033860
0.002339, 0.043562, 0.016703, 0.012749
0.005961, -0.057602, -0.046223, 0.022514
0.003454, -0.028034, 0.022168, 0.046656
0.001407, 0.026799, 0.018681, -0.018422
0.000951, -0.014465, 0.026659, -0.005548
0.001817, -0.029731, -0.009051, 0.029170
0.002177, -0.007144, 0.016608, -0.043015
0.000217, -0.011883, -0.008691, 0.000547
0.000283, 0.008473, -0.011289, -0.009154
0.000194, 0.006020, -0.012361, -0.002330
0.000106, 0.008232, -0.000207, -0.006177
0.005745, 0.041491, 0.056072, 0.029652
0.064671, -0.220703, -0.096224, -0.081865
0.007327, 0.085546, 0.002012, 0.002175
0.000851, -0.023702, -0.014299, -0.009227
0.000784, -0.023718, 0.008902, 0.011911
0.002134, 0.045695, -0.002023, 0.006450
0.000361, 0.018605, 0.003755, 0.000881
0.009927, 0.097436, 0.010567, 0.017928
0.003524, 0.050126, 0.010401, 0.030046
0.000141, -0.009911, 0.006296, 0.001744
0.000281, 0.011103, 0.002346, 0.012346
0.012002, -0.098268, -0.027784, -0.039664
0.002053, 0.004424, 0.001978, 0.045046
0.000089, -0.003632, -0.000610, 0.008676
0.002090, -0.007470, -0.018237, -0.041254, 0, Accelerating
0.000349, 0.004136, 0.002669, -0.018026
0.000993, -0.019049, -0.018996, -0.016409
0.006699, -0.077364, -0.000170, -0.026717
0.000592, -0.016912, -0.014014, -0.010489
0.001613, 0.028944, -0.019446, -0.019919
0.000765, -0.008654, -0.002279, -0.026176
0.002248, 0.028047, 0.008437, 0.037283
0.001465, -0.024982, -0.026453, -0.011878
0.000683, -0.021765, 0.005722, -0.013274
0.000356, -0.018195, -0.000526, 0.004999
0.002362, -0.001672, -0.007936, -0.047921
0.001383, 0.005807, -0.015600, 0.033250
0.001633, -0.038150, -0.013331, 0.000195
0.000622, -0.018158, 0.013635, -0.010309
0.001392, 0.004851, -0.034523, 0.013308
0.000609, -0.022393, -0.010363, 0.000179
0.000581, -0.020975, -0.009188, 0.007553
0.003473, -0.050618, 0.001773, 0.030132
0.000365, 0.006289, -0.001762, -0.017946
0.002176, 0.033810, -0.008111, -0.031098
0.000049, -0.001513, -0.004958, -0.004753
0.000413, -0.006987, 0.013028, -0.013961
0.000251, -0.004194, -0.011135, -0.010484
0.000207, 0.005886, -0.005414, 0.011953
0.000035, -0.001582, -0.003924, -0.004148
0.000111, -0.010306, 0.001880, 0.001082
0.000786, 0.024615, 0.002389, 0.013221, 0, Decelerating
0.009391, -0.073375, -0.008086, -0.062783
0.003364, 0.055315, -0.014381, 0.009868
0.000153, 0.002777, -0.011930, -0.001777
0.001447, 0.023791, 0.021502, 0.020450
0.001168, -0.019141, 0.007538, -0.027287
0.000490, 0.002512, -0.009783, 0.019697
0.002402, 0.043261, -0.012338, -0.019436
0.000150, -0.010403, 0.002666, -0.005848
0.000355, 0.002811, 0.003141, 0.018360
0.001686, 0.033282, -0.019932, -0.013461
0.002655, 0.035823, 0.024061, -0.028149
0.000197, 0.013116, -0.004562, -0.001944
0.005841, -0.027599, -0.065289, 0.028578
0.004820, -0.042249, 0.037612, 0.040248
0.000494, -0.020281, -0.007909, -0.004507
0.001103, -0.014099, 0.003165, -0.029896
0.000810, -0.006902, -0.021743, -0.017009
0.002077, -0.000904, -0.042548, 0.016307
0.000163, -0.012358, 0.002470, -0.002112
0.000466, -0.018192, 0.011590, 0.000935
0.000558, -0.016798, 0.008036, 0.014547
0.001217, -0.024672, 0.021057, -0.012821
0.000670, 0.019811, 0.006044, 0.015532
0.001380, -0.015018, 0.032896, 0.008530
0.000207, 0.004243, 0.000942, -0.013706
0.000326, 0.012471, -0.000089, -0.013046
0.000315, -0.017374, 0.001128, 0.003447
0.000387, -0.004107, -0.009822, 0.016533
0.001691, 0.026575, 0.026803, -0.016308
0.000171, -0.006482, -0.006487, 0.009301
0.001508, 0.032092, 0.000460, 0.021867
0.000256, 0.004324, -0.000643, 0.015395
0.000088, 0.004685, -0.004617, -0.006717
0.002106, 0.018911, -0.000913, 0.041808
0.001344, -0.032198, -0.016842, -0.004855
0.000846, 0.024901, -0.002811, 0.014757
0.000067, -0.003526, 0.006764, -0.003046
0.001260, 0.034648, 0.006909, 0.003393
0.001634, 0.029287, 0.003798, 0.027601
0.001883, -0.032018, -0.015120, -0.025093
0.000668, -0.008798, -0.019763, -0.014144
0.000604, -0.023876, 0.004295, -0.003916
0.000298, -0.009035, 0.010364, 0.010451
0.000867, -0.028884, -0.000648, 0.005720
0.000101, -0.002680, -0.005620, 0.007878
0.000074, 0.006985, 0.001275, 0.004898
0.001500, -0.016455, -0.009290, -0.033814
0.000292, -0.012277, 0.011376, 0.003409
0.000398, 0.012390, -0.011731, 0.010359
0.001651, -0.038276, -0.002941, -0.013302
0.000691, -0.017829, 0.007735, -0.017707
0.000569, -0.015038, -0.005667, -0.017634
0.000159, 0.005341, -0.006889, 0.009103
0.002025, -0.021710, -0.027274, -0.028453
0.004942, -0.061715, -0.023707, -0.023909
0.002587, 0.013913, -0.005205, -0.048644
0.003363, 0.054271, -0.004938, 0.019826
0.006417, 0.061769, -0.050190, 0.009110
0.000343, -0.011336, 0.008638, -0.011845
0.000183, -0.006624, 0.011492, -0.002701, 0, Stopped
0.000333, 0.001753, -0.017212, -0.005828
0.000298, -0.003328, -0.015024, -0.007809
0.003923, -0.058286, -0.022269, 0.005452
0.000138, -0.011204, -0.002513, -0.002563
0.000912, 0.014455, 0.005298, -0.025976
0.000627, -0.010171, -0.009328, -0.020887
0.022751, 0.138319, 0.049687, 0.033912
0.000246, -0.004299, 0.002704, -0.014842
0.000383, 0.014435, 0.013146, 0.001279
0.001954, 0.015690, -0.011130, -0.039798
0.000219, -0.005386, -0.007970, 0.011265
0.000036, 0.000779, -0.005568, -0.002071
0.001091, -0.018392, -0.008293, -0.026159
0.001109, -0.017896, -0.018846, -0.020811
0.000482, -0.010694, -0.009091, -0.016891
0.000549, -0.023015, 0.002355, 0.003659
0.000079, 0.008883, -0.000377, 0.000055
0.000103, -0.005254, -0.006944, -0.005238
0.000239, 0.006405, 0.001746, 0.013961
0.000120, -0.009668, -0.003348, 0.003931
0.000014, 0.001432, 0.002313, 0.002556
0.000028, -0.002219, -0.003136, -0.003654
0.000016, -0.003307, 0.001926, -0.001305
0.000037, -0.000915, -0.004951, -0.003424
0.000068, -0.002376, -0.001670, 0.007744
0.000005, -0.000156, -0.001718, -0.001478
0.000056, -0.001622, -0.001608, -0.007124
0.000016, 0.000326, -0.003606, 0.001720
0.000887, -0.012062, 0.007371, 0.026207
0.000091, -0.003753, -0.005157, -0.007065
0.000345, -0.017042, -0.005484, 0.004956
0.000041, 0.000320, -0.004362, -0.004682
0.002113, 0.036763, 0.008232, 0.026344
0.000069, 0.006545, 0.002932, -0.004165
0.000238, 0.000190, 0.004054, 0.014883
0.000128, -0.003873, -0.001406, 0.010540
0.003118, -0.046567, -0.018852, -0.024383
0.011312, 0.006374, 0.028972, 0.102135
0.000080, -0.007783, -0.003093, -0.003190
0.000439, 0.019734, 0.004975, -0.004970
0.000103, 0.004985, 0.004714, 0.007468
0.000311, -0.016001, 0.000018, 0.007394
0.000102, 0.000396, 0.001480, 0.010000
0.000202, -0.008404, -0.000418, 0.011450
0.000162, 0.012367, 0.000956, -0.002778
0.000060, -0.007233, 0.002615, -0.001007
0.000042, -0.000564, -0.005345, -0.003626
0.000187, 0.006911, -0.006946, -0.009544
0.000161, -0.011456, -0.001350, 0.005240
0.000063, -0.000758, -0.002476, -0.007497
0.000470, 0.010525, -0.005015, -0.018284
0.000014, -0.000909, 0.000542, 0.003594
0.000151, -0.007143, -0.003117, -0.009504
0.000480, 0.008989, 0.001360, -0.019933
0.000264, 0.000555, -0.003621, -0.015836
0.000008, -0.001828, -0.000951, 0.001903
0.000045, 0.006495, -0.001318, 0.000780
0.000004, -0.001414, 0.001115, 0.000736
0.000067, 0.000327, -0.000187, -0.008194
0.000161, 0.005963, -0.007133, -0.008638
0.000063, -0.007580, -0.002427, -0.000168
0.000074, -0.000426, -0.005911, -0.006233
0.000056, -0.002787, 0.002148, -0.006634
0.000095, 0.006212, -0.002196, -0.007156
0.000437, -0.005095, -0.008395, -0.018457
0.000080, 0.000839, -0.000904, -0.008852
0.000124, -0.004804, 0.000119, 0.010061
0.000012, -0.000358, -0.002455, -0.002351
0.000015, -0.000504, -0.003620, -0.001305
0.000008, -0.000539, 0.002148, 0.001720
0.000010, -0.001121, -0.002961, -0.000447
0.000754, 0.027274, 0.003223, 0.000294
0.000527, 0.011848, 0.007574, 0.018141
0.002563, 0.048951, -0.001780, -0.012801
0.000962, 0.026566, 0.009587, 0.012826, 0, Accelerating
0.000104, 0.000291, -0.009376, -0.003962
0.017951, 0.130111, 0.031711, 0.004079
0.000049, 0.004074, 0.005527, 0.001171
0.005931, 0.075310, 0.012702, -0.009884
