r2, X, Y, Z
0.000349, -0.008973, -0.015914, -0.003920, 0, Accelerating
0.001228, -0.024283, -0.017630, -0.018110
0.006929, 0.065978, 0.016598, 0.047965
0.004811, -0.004640, -0.006622, -0.068888
0.007548, -0.083041, -0.024671, -0.006573
0.000840, 0.028647, -0.004433, 0.000129
0.000091, 0.009071, -0.002727, -0.001153
0.004257, 0.008568, -0.013723, -0.063207
0.004484, -0.034638, 0.005362, 0.057054
0.010580, -0.093905, -0.041974, 0.000712
0.038371, 0.154991, 0.015450, 0.118787
0.001666, -0.019846, -0.017826, 0.030899
0.007342, -0.031919, -0.030710, -0.073346
0.002994, -0.053501, -0.004413, 0.010594
0.001200, -0.029328, -0.001065, 0.018417
0.016314, 0.110966, -0.034430, -0.053058
0.004755, -0.035375, -0.023989, -0.054114
0.008309, -0.076628, -0.006699, 0.048912
0.002551, 0.001468, -0.024771, -0.043991
0.000933, 0.002421, 0.024161, 0.018543
0.000366, 0.006710, 0.004369, 0.017385
0.022186, -0.010989, -0.099314, -0.110460
0.003924, 0.005854, -0.011596, -0.061278
0.010320, 0.018540, -0.026074, -0.096418
0.000850, -0.026312, -0.012546, 0.000174
0.002528, -0.010950, -0.014791, -0.046791
0.001923, -0.008787, -0.004995, 0.042666
0.003276, 0.005040, 0.044596, 0.035522
0.000505, -0.011864, -0.009148, -0.016752
0.002311, -0.001008, -0.046617, -0.011715
0.049909, -0.015501, -0.071386, -0.211122
0.008889, 0.011937, -0.042951, 0.083074
0.000279, 0.015823, -0.005312, 0.000239
0.015807, -0.021000, 0.035325, 0.118821
0.008702, 0.075477, 0.025212, -0.048682
0.005225, -0.002278, -0.005293, -0.072056
0.002077, -0.017326, -0.017659, 0.038270
0.034786, 0.026085, 0.007917, -0.184507
0.003068, 0.037711, 0.000440, -0.040563
0.008694, 0.015649, -0.019421, 0.089843
0.002994, 0.004413, 0.001108, -0.054528
0.001182, 0.000553, -0.002019, -0.034319
0.002867, 0.008819, -0.044288, 0.028774
0.001283, 0.012445, 0.033464, -0.002914
0.000057, 0.004822, 0.004611, -0.003518
0.006142, -0.031494, -0.024909, 0.067300
0.000445, -0.019218, 0.000038, 0.008723
0.012059, -0.009871, -0.015979, -0.108196
0.012447, -0.001027, -0.019859, -0.109779
0.000194, -0.000914, -0.012053, -0.006891
0.018029, -0.021543, -0.052202, -0.121820
0.001803, -0.015227, 0.019803, 0.034331
0.000287, -0.003799, -0.007836, -0.014532
0.000693, 0.020458, -0.016451, -0.001846
0.002270, 0.042115, -0.017798, 0.013399
0.004044, -0.003717, -0.034405, -0.053353
0.004335, 0.000839, -0.054644, -0.036713
0.017706, -0.025179, -0.020252, -0.129080
0.000156, -0.010435, -0.006781, -0.000834
0.000854, 0.002208, 0.003198, -0.028965
0.005200, -0.004748, -0.021049, -0.068808
0.001066, 0.007065, -0.029468, 0.012142
0.000786, 0.020324, -0.005797, 0.018433
0.002428, 0.024421, 0.038555, 0.018574
0.001661, 0.024321, 0.000290, -0.032705
0.004065, 0.034268, -0.040570, -0.035288
0.014788, -0.016930, -0.042158, -0.112800
0.010779, -0.011197, 0.042320, 0.094139
0.000611, -0.019308, -0.005820, -0.014285
0.035334, 0.006258, -0.032804, -0.184984
0.002343, 0.013055, -0.033252, -0.032661
0.010527, 0.046174, 0.073053, 0.055299
0.009236, -0.048151, -0.045522, -0.069607
0.002345, 0.031005, -0.016976, 0.033102
0.002176, -0.002987, 0.031009, 0.034720
0.000579, 0.017398, -0.006247, -0.015403
0.000886, 0.003171, 0.010191, -0.027786
0.001715, -0.010151, 0.022810, 0.033040
